activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Electricity Consumption Scutching,0.7550399999999999,MJ,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Hemp Seed For Sowing,0.0192,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,K2O From Compound Fertilizer,0.036,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,Metolachlor,0.000516,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,N From Urea Fertilizer,0.048,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,On-Farm Fuel Use,0.016656,L,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Input,P2O5 From Compound Fertilizer,0.018,kg,,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.0002784,g,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.0115464,kg,Air,
Hemp - scutched hemp fiber - production (hemp cultivation conventional and scutching),Hemp - scutched hemp fiber,1.0,Hemp,China,,Source in document: adapted from Table 73,2015.0,Hannes Van Eynde (2015). Comparative Life Cycle Assessment of hemp and cotton fibers used in Chinese textile manufacturing,Elementary Flows Were Filtered Based On Master List,Output,Ammonia,0.228,g,Air,
