activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Polyester - PET fiber - raw material extraction and fiber production,Polyester - PET fiber,1.0,Polyester,Unspecified geography,,"Source in document: Tables 8: Water requirements, and 9: CO2 emissions; Reference in the document: Boustead, I., 2005. Eco-profiles of the European Plastics Industry. Plastics Europe, Brussels.",2012.0,"Muthu, Subramanian Senthilkannan & Li, Yulan & Hu, Junyan & Mok, Tracy. (2012). Quantification of Environmental impact and ecological sustainability of textile fibers. Ecological Indicators. 13. 66–74. 10.1016/j.ecolind.2011.05.008.",Incomplete Elementary Flows,Input,Water,62.0,L,,
Polyester - PET fiber - raw material extraction and fiber production,Polyester - PET fiber,1.0,Polyester,Unspecified geography,,"Source in document: Tables 8: Water requirements, and 9: CO2 emissions; Reference in the document: Boustead, I., 2005. Eco-profiles of the European Plastics Industry. Plastics Europe, Brussels.",2012.0,"Muthu, Subramanian Senthilkannan & Li, Yulan & Hu, Junyan & Mok, Tracy. (2012). Quantification of Environmental impact and ecological sustainability of textile fibers. Ecological Indicators. 13. 66–74. 10.1016/j.ecolind.2011.05.008.",Incomplete Elementary Flows,Output,Carbon Dioxide,2.8,kg,Air,
Polyester - PET pellet (amorphous) - production (amorphous),Polyester - PET pellet (amorphous),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Unspecified Non-Renewable,80.5,MJ,,
Polyester - PET pellet (amorphous) - production (amorphous),Polyester - PET pellet (amorphous),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Output,Carbon Dioxide,3.3,kg,Air,
Polyester - PET pellet (bottle grade) - production (bottle grade),Polyester - PET pellet (bottle grade),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Unspecified Non-Renewable,68.6,MJ,,
Polyester - PET pellet (bottle grade) - production (bottle grade),Polyester - PET pellet (bottle grade),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Output,Carbon Dioxide,2.0,kg,Air,
Polyester - PET staple fiber - spinning purified terephthalic acid and ethylene glycol to polyester staple fiber,Polyester - PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5; Reference in the document: IFTH1 (n.a.),2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Diesel,53.76,MJ,,
Polyester - PET staple fiber - spinning purified terephthalic acid and ethylene glycol to polyester staple fiber,Polyester - PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5; Reference in the document: IFTH1 (n.a.),2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Electricity,4.22,kWh,,
Polyester - PET staple fiber - spinning purified terephthalic acid and ethylene glycol to polyester staple fiber,Polyester - PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5; Reference in the document: IFTH1 (n.a.),2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Hard Coal,14.79,MJ,,
Polyester - PET staple fiber (recycled) - spinning polyester flakes to staple fiber,Polyester - PET staple fiber (recycled),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Electricity,0.69,kWh,,
Polyester - PET staple fiber (recycled) - spinning polyester flakes to staple fiber,Polyester - PET staple fiber (recycled),1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Steam,4.75,MJ,,
Polyester - recycled PET staple fiber - spinning polyester pellets to staple fiber,Polyester - recycled PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Electricity,0.31,kWh,,
Polyester - recycled PET staple fiber - spinning polyester pellets to staple fiber,Polyester - recycled PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Electricity,0.52,kWh,,
Polyester - recycled PET staple fiber - spinning polyester pellets to staple fiber,Polyester - recycled PET staple fiber,1.0,Polyester,Europe,,Source in document: Table 5,2014.0,"van der Velden, N.M., Patel, M.K. & Vogtländer, J.G. LCA benchmarking study on textiles made of cotton, polyester, nylon, acryl, or elastane. Int J Life Cycle Assess 19, 331–356 (2014). https://doi.org/10.1007/s11367-013-0626-9",Incomplete Elementary Flows,Input,Hard Coal,10.57,MJ,,
