activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Bleach,0.106896551724138,kg,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Detergent,0.0862068965517241,g,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Electricity,2.18646408839779,kWh,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Fertilizer,0.298342541436464,kg,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Firewood,2.6,kg,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Formalin,0.0862068965517241,L,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Newspaper,0.0603448275862069,kg,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Organic Fertilizer,11.0497237569061,kg,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Pesticides,0.0016353591160221,kg/year,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Silkworm Eggs,0.0172413793103448,Disease Free Layings,,
Silk - silk cocoon - mulberry production through silk reeling,Silk - silk cocoon,1.0,Silk,India,,Source in document: Table 11.2; Reference in the document: See references in the document,2015.0,"F. Astudillo, Miguel & Thalwitz, Gunnar & Vollrath, Fritz. (2015). Life cycle assessment of silk production - a case study from India. 10.1016/B978-0-08-100169-1.00011-3.",Incomplete Elementary Flows,Input,Water,4.76545635359116,m3,,
,,,,,,,,,,,,,,,
"Applied filters:
Country or Region Filter Alias is India
Activity Filter Alias is Silk - silk cocoon - mulberry production through silk reeling
Material Type Filter Alias is Silk",,,,,,,,,,,,,,,
