activity_name,reference_product,reference_product_amount,material_type,country_or_region,subdivision,description,publication_year,citation,completedness_flag,input/output,compound_or_material,indicator_value,indicator_uom,compartment,comments
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Diesel,0.101462983780312,L,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Electricity,0.264535089127991,kWh,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Fertilizer,0.000701782559820138,t,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Land Use,0.0238975429580858,Ha,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Lime,0.00011080777260318,t,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Petrol,0.0777870563674322,L,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,New South Wales,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Water,0.000225309137626465,ML,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,Western Australia,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Diesel,0.153059206892743,L,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,Western Australia,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Electricity,0.100959074339998,kWh,,
Wool - greasy wool (merino) - production (farm),Wool - greasy wool (merino),1.0,Wool,Australia,Western Australia,"Source in document: Table 1; Reference in the document: Wiedemann S, Yan M-J, Henry B, Murphy C (2016) Resource use and greenhouse gas emissions from three wool production regions in Australia. J Clean Prod 122:121–132",2020.0,"Wiedemann, S., Biggs, L., Nebel, B. et al. Environmental impacts associated with the production, use, and end-of-life of a woolen garment. Int J Life Cycle Assess 25, 1486–1499 (2020). https://doi.org/10.1007/s11367-020-01766-0",Incomplete Elementary Flows,Input,Fertilizer,0.00166077543355794,t,,
