input_name,canonical_key,quantity,unit,normalized_quantity,normalized_unit,ef_kgco2e_per_unit,co2e
Polyester,,62.0,L,62.0,l,,
Polyester,,2.8,kg,2.8,kg,,
Polyester,,80.5,MJ,80.5,mj,,
Polyester,,3.3,kg,3.3,kg,,
Polyester,,68.6,MJ,68.6,mj,,
Polyester,,2.0,kg,2.0,kg,,
Polyester,,53.76,MJ,53.76,mj,,
Polyester,,4.22,kWh,4.22,kwh,,
Polyester,,14.79,MJ,14.79,mj,,
Polyester,,0.69,kWh,0.69,kwh,,
Polyester,,4.75,MJ,4.75,mj,,
Polyester,,0.31,kWh,0.31,kwh,,
Polyester,,0.52,kWh,0.52,kwh,,
Polyester,,10.57,MJ,10.57,mj,,
Polyester,,0.02,MJ,0.02,mj,,
Polyester,,2.21,MJ,2.21,mj,,
